word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auteur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a la mode,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
académie,cr loanword,0,0.005964215,0.007952286,0.007952286,0.008449304,0.010039761,0.010039761,0.011175802,0.011424311,0.011866105,0.012263719,0.012263719,0.012429392,0.012429392,0.012855407,0.013253022,0.013377276,0.013377276,0.013487724,0.013696995,0.013696995,0.013696995,0.013877729,0.013877729,0.013877729,0.013877729,0.013877729,0.013877729,0.013948731,0.013948731,0.014015001,0.014079132,0.014079132,0.014139376,0.014139376,0.014196179,0.014196179,0.01424991,0.01424991,0.014402839,0.014452541,0.01450103,0.01450103,0.01450103,0.01450103,0.01450103,0.01450103,0.01450103,0.01450103,0.01450103
après,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bourgeois,cr loanword,0,0.087649402,0.105577689,0.112881806,0.113877822,0.115471448,0.116467463,0.117605767,0.118601783,0.119708468,0.119708468,0.120795031,0.120795031,0.121407963,0.122119403,0.122252206,0.12250121,0.122618388,0.122729056,0.1228339,0.123132705,0.123227564,0.12331811,0.12340472,0.123570723,0.123650404,0.123650404,0.123871741,0.123871741,0.124009123,0.124141925,0.124334702,0.124396953,0.124396953,0.124514132,0.124514132,0.1246248,0.124678639,0.124783482,0.12483456,0.124983963,0.124983963,0.125031392,0.125031392,0.125076665,0.125120933,0.125120933,0.125163316,0.125163316,0.125244624
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faux pas,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fete,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin de siecle,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gite,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jongleur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycee,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peloton,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proletariat,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rendezvous,cr loanword,0,0.004,0.004,0.004,0.0045,0.0045,0.0045,0.0045,0.0045,0.004722222,0.004722222,0.004722222,0.004722222,0.004876068,0.005018926,0.005152259,0.005152259,0.005152259,0.00526337,0.005368633,0.005368633,0.005463871,0.005463871,0.005463871,0.005463871,0.005463871,0.005463871,0.005612019,0.005754877,0.005754877,0.005754877,0.005754877,0.005754877,0.005815483,0.005815483,0.005815483,0.005815483,0.005815483,0.005815483,0.005815483,0.005865483,0.005865483,0.005913102,0.005913102,0.005913102,0.005913102,0.00595658,0.00595658,0.00595658,0.00595658
salon,cr loanword,0,0,0,0,0,0,0.000666667,0.000666667,0.001166667,0.001166667,0.001166667,0.001166667,0.001333333,0.001333333,0.00147619,0.00147619,0.00147619,0.00147619,0.00147619,0.00147619,0.00147619,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001571429,0.001626984,0.001735092,0.001735092,0.001735092,0.001735092,0.001832653,0.001832653,0.001879165,0.001879165,0.001968054,0.001968054,0.00205316,0.002136493,0.00217731
beige,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brochure,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafe,fr-en loanword,0,0.006,0.013,0.017,0.0185,0.0201,0.021433333,0.022861905,0.023861905,0.024528571,0.025128571,0.026219481,0.027219481,0.027681019,0.028252448,0.028519114,0.028894114,0.029129408,0.029129408,0.029339935,0.029539935,0.029825649,0.029825649,0.029912605,0.030162605,0.030322605,0.030630298,0.030630298,0.030844583,0.03105148,0.03125148,0.031315996,0.031565996,0.031747814,0.031747814,0.031919243,0.031974798,0.032136961,0.032242224,0.032447352,0.032597352,0.032646132,0.032741371,0.032787882,0.032833337,0.032877781,0.032964738,0.033049844,0.033133177,0.03321481
camaraderie,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concierge,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coup,fr-en loanword,0,0.001996008,0.001996008,0.001996008,0.001996008,0.001996008,0.002328676,0.00261382,0.002863321,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003306878,0.003383648,0.003457574,0.003457574,0.003457574,0.003524108,0.003524108,0.003586483,0.003586483,0.003645189,0.003645189,0.003645189,0.003645189,0.003645189,0.003645189,0.003695089,0.003695089,0.003742613,0.003742613,0.003742613,0.003742613,0.003742613,0.003742613,0.003742613,0.003742613
detour,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,fr-en loanword,0,0.001976285,0.001976285,0.001976285,0.002470356,0.002470356,0.002470356,0.003035008,0.003282044,0.003282044,0.003282044,0.003461706,0.003791087,0.004095131,0.004377457,0.004377457,0.004500975,0.004500975,0.004500975,0.004500975,0.004500975,0.004500975,0.004590806,0.004676732,0.004676732,0.004676732,0.004676732,0.004676732,0.004676732,0.004676732,0.004676732,0.004676732,0.00473849,0.004858265,0.004858265,0.004858265,0.004913162,0.004913162,0.004913162,0.004913162,0.004913162,0.004913162,0.004960216,0.005006177,0.005096008,0.005183843,0.005183843,0.005225891,0.005267064,0.005428393
ensemble,fr-en loanword,0,0.003960396,0.008910891,0.010891089,0.012376238,0.013168317,0.014158416,0.014724187,0.014971711,0.015411755,0.016203835,0.016923907,0.016923907,0.01707623,0.017217672,0.017613712,0.017984999,0.018334446,0.018554468,0.01876291,0.019059939,0.01943712,0.019527129,0.019613225,0.019613225,0.01977164,0.019847802,0.019921142,0.020133307,0.020269872,0.020533898,0.020597776,0.020659657,0.020719663,0.020894386,0.021120695,0.021120695,0.021120695,0.021120695,0.021120695,0.0211702,0.0211702,0.0211702,0.0211702,0.0211702,0.021214204,0.021214204,0.021298468,0.021298468,0.021298468
etiquette,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facade,fr-en loanword,0,0,0.001988072,0.003313453,0.004804506,0.005202121,0.005533466,0.006385497,0.006634005,0.007075799,0.007473413,0.007473413,0.007473413,0.007626342,0.007626342,0.007891418,0.008388436,0.008388436,0.008609333,0.008818604,0.009315622,0.009694302,0.009784669,0.009784669,0.010033178,0.010033178,0.010186106,0.010259739,0.010401744,0.010401744,0.010534282,0.010598413,0.010598413,0.010718902,0.010777375,0.010890979,0.010946203,0.01116113,0.011213448,0.0113154,0.011365102,0.011413591,0.011460926,0.011460926,0.011460926,0.011460926,0.011504145,0.011546445,0.011670699,0.011670699
